Hải tặc	N
eo biển	N
Malacca	Np
(	(
kỳ	N
cuối	A
)	)
:	:
Trong	E
tổng hành dinh	N
chống	V
hải tặc	N
.	.

Trước	E
khi	N
sang	V
vùng	N
eo biển	N
Malacca	Np
,	,
chúng tôi	P
đã	R
có	V
nhiều	A
cuộc	N
trao đổi	V
qua	E
điện thoại	N
,	,
email	Nb
với	E
lực lượng	N
cảnh sát	N
biển	N
,	,
nhưng	C
khi	N
sang	V
đến	E
nơi	N
,	,
tìm	V
đến	R
trụ sở	N
của	E
lực lượng	N
cảnh sát	N
biển	N
Malaysia	Np
,	,
vô cùng	R
khó khăn	A
mới	R
đến	V
được	R
“	"
tổng hành dinh	N
”	"
của	E
lực lượng	N
chống	V
hải tặc	N
của	E
Malaysia	Np
.	.

Hợp đồng	N
giết	V
người	N
500	M
USD	Nu
.	.

Chúng tôi	P
phải	V
trình	V
mọi	L
giấy tờ	N
tùy thân	A
cần thiết	A
,	,
qua	E
máy	N
soi	V
tất cả	L
vật dụng	N
mang	V
theo	R
và	C
cuối cùng	A
là	C
đi	V
qua	R
hàng rào	N
an ninh	N
nghiêm ngặt	A
mới	R
vào	V
được	R
căn	Nc
phòng	N
đầy	A
mô hình	N
tàu thủy	N
và	C
bản đồ	N
-	-
văn phòng	N
của	E
Abul Rahman Ahmad	Np
,	,
chỉ huy trưởng	N
lực lượng	N
cảnh sát	N
biển	N
Malaysia	Np
.	.

Ông	Nc
Ahmad	Np
có	V
đến	R
23	M
năm	N
trong	E
lực lượng	N
cảnh sát	N
biển	N
cho	V
biết	V
:	:
“	"
Trước	E

 đây	P
hải tặc	N
vùng	N
eo biển	N
cũng	R
có	V
nhưng	C
rất	R
hãn hữu	A
,	,
chỉ	R
cướp	V
những	L
tàu	N
cá	N
nhỏ	A
,	,
nhưng	C
hiện nay	N
chúng	P
thường	R
nhắm	V
vào	R
những	L
tàu	N
hàng	N
,	,
tàu	N
dầu	N
nên	C
công việc	N
của	E
cảnh sát	N
biển	N
rất	R
căng thẳng	A
.	.

Hiện	N
lực lượng	N
cảnh sát	N
biển	N
có	V
18	M
tàu	N
tuần tra	V
trong	E
lãnh hải	N
của	E
mình	P
”	"
.	.

Theo	E
số liệu	N
của	E
ông	Nc
Ahmad	Np
cung cấp	V
,	,
trong	E
sáu	M
tháng	N
đầu	N
năm	N
2005	M
cảnh sát	N
biển	N
Malaysia	Np
đã	R
bắt	V
quả tang	R
năm	M
vụ	Nc
cướp biển	V
mà	C
đa số	N
hải tặc	N
đều	R
mang	V
quốc tịch	N
Indonesia	Np
.	.

Khi	N
chúng tôi	P
trình bày	V
những	L
gì	P
tai nghe mắt thấy	X
ở	E
ngôi	Nc
làng	N
biển	N
Kuala Setepang	Np
,	,
những	L
tình nghi	N
“	"
tay trong	N
”	"
của	E
hải tặc	N
từ	E
những	L
người	Nc
bản địa	N
cũng	C
như	C
giới	Nc
chức sắc	N
cảnh sát	N
địa phương	N
thì	C
ông	Nc
Ahmad	Np
phân trần	V
:	:
“	"
Bọn	Nc
hải tặc	N
hoạt động	V
ngày một	X
tinh vi	A
,	,
chúng	P
ngụy trang	V
khéo léo	A
trong	E
hàng	R
nghìn	M
chiếc	Nc
tàu	N
đánh cá	V
khác	A
của	E
ngư dân	N
trên	E
biển	N
,	,
vì thế	C
những	L
sơ hở	N
là	C
không thể	R
tránh	V
khỏi	R
”	"
.	.

Trong	E
khi	N
trao đổi	V
với	E
chỉ huy trưởng	N
thì	C
điện thoại	N
trong	E
“	"
tổng hành dinh	N
”	"
thường xuyên	A
rung	V
chuông	N
,	,
gương mặt	N
ngài	N
chỉ huy trưởng	N
khá	R
căng thẳng	A
:	:
“	"
Thông tin	N
từ	E
các	L
đội	N
tuần tra	V
báo	V
về	R
,	,
các	L
anh	N
thông cảm	V
!	!
”	"
.	.

Khi	N
chúng tôi	P
đề nghị	V
được	V
tham gia	V
một	M
chuyến	N
tuần tra	V
cùng	A
với	E
cảnh sát	N
biển	N
Malaysia	Np
,	,
ông	Nc
Ahmad	Np
từ chối	V
ngay	T
:	:
“	"
Tôi	P
chỉ	R
có thể	A
cung cấp	V
hình ảnh	N
cho	E
các	L
anh	N
,	,
còn	C
đi	V
cùng	A
thì	C
không thể	R
được	V
,	,
vì	E
đó	P
là	V
an ninh	N
quốc gia	N
,	,
những	L
người	N
dân	N
,	,
thậm chí	R
lính	N
ngoài	E
binh chủng	N
cũng	R
không	R
được	V
phép	N
đặt chân	V
lên	R
tàu	N
!	!
”	"
.	.

Có	V
một	M
điều	N
lạ	A
,	,
trong	E
những	L
buổi	N
làm việc	V
với	E
giám đốc	N
trung tâm	N
chống	V
hải tặc	N
của	E
IMB	Ny
hay	C
chỉ huy trưởng	N
cảnh sát	N
biển	N
Malaysia	Np
,	,
chúng tôi	P
luôn	R
được	V
yêu cầu	V
không	R
chụp	V
ảnh	N
họ	P
.	.

Ông	Nc
Noel Choong	Np
hỏi	V
chúng tôi	P
bằng	E
một	M
câu	N
trả lời	V
:	:
“	"
Anh	N
có	V
biết	V
người ta	P
chỉ	R
tốn	V
có	R
500	M
USD	Nu
cho	E
một	M
hợp đồng	N
giết	V
người	N
không	R
?	?

Làm ơn	V
đừng	V
đưa	V
hình	N
tôi	P
lên	R
mặt	N
báo	N
nếu	C
không	R
muốn	V
tôi	P
có	V
tên	N
trong	E
bản	Nc
hợp đồng	N
500	M
USD	Nu
đó	P
!	!
”	"
.	.

IMB	Ny
được	V
xem	V
như	C
một	M
cơ quan	N
tình báo	V
độc lập	A
phân tích	V
đánh giá	V
tình hình	N
hải tặc	N
để	E
cung cấp	V
cho	E
lực lượng	N
chống	V
hải tặc	N
các	L
nước	N
,	,
và	C
những	L
con người	N
làm việc	V
trong	E
IMB	Ny
đang	R
phải	V
hứng chịu	V
những	L
áp lực	N
,	,
nguy hiểm	N
cũng	R
đang	R
rình rập	V
họ	P
mỗi	M
ngày	N
...	.

Từ	E
chiến dịch	N
“	"
Malsindo	Np
”	"
đến	E
“	"
Những	L
con	Nc
mắt	N
trên	A
không	N
”	"

Trước	E
tình hình	N
hải tặc	N
ngày càng	X
lộng hành	V
vùng	N
eo biển	N
Malacca	Np
,	,
ngay	T
từ	E
giữa	N
năm	N
2004	M
,	,
ba	M
nước	N
“	"
sở hữu	V
”	"
vùng	N
eo biển	N
là	V
Malaysia	Np
,	,
Indonesia	Np
,	,
Singapore	Np
đã	R
nhanh chóng	A
liên kết	V
và	C
tổ chức	V
tuần tra	V
chung	A
với	E
chiến dịch	N
mang	V
tên	N
“	"
Malsindo	Np
”	"
(	(
tên	N
ba	M
quốc gia	N
)	)
,	,
nhưng	C
do	E
lực lượng	N
quá	R
mỏng	A
,	,
phương thức	N
phối hợp	V
còn	R
rời rạc	A
,	,
công thức	A
nên	C
chiến dịch	N
này	P
đã	R
phá sản	V
,	,
vì	E
ngay	T
trong	E
thời gian	N
